AÑO,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SET,OCT,NOV,DIC
1973,0.3 ,0.0 ,0.0 ,54.1 ,10.3 ,59.3 ,27.4 ,306.5 ,208.8 ,109.7 ,66.0 ,0.1 
1974,3.3 ,7.8 ,5.5 ,0.5 ,35.5 ,1.5 ,174.2 ,262.0 ,133.4 ,193.5 ,18.0 ,24.0 
1975,1.5 ,18.6 ,0.0 ,1.4 ,97.9 ,64.9 ,188.4 ,224.9 ,196.2 ,137.3 ,99.6 ,79.4 
1976,0.0 ,7.4 ,22.6 ,51.2 ,57.7 ,161.0 ,227.8 ,108.6 ,37.8 ,128.2 ,107.6 ,6.6 
1977,0.0 ,0.0 ,20.2 ,27.0 ,57.4 ,136.3 ,56.8 ,213.6 ,153.2 ,127.6 ,26.2 ,0.0 
1978,28.8 ,0.0 ,0.0 ,119.8 ,109.0 ,118.1 ,118.2 ,154.5 ,144.7 ,109.5 ,134.6 ,14.7 
1979,0.0 ,0.0 ,24.5 ,62.0 ,126.2 ,248.6 ,134.0 ,124.7 ,221.8 ,56.1 ,114.7 ,15.8 
1980,0.0 ,0.0 ,0.0 ,31.4 ,131.4 ,115.3 ,138.0 ,159.6 ,187.3 ,152.2 ,15.3 ,11.2 
1981,8.2 ,24.1 ,0.0 ,244.3 ,196.2 ,85.8 ,348.6 ,195.3 ,162.3 ,52.4 ,166.2 ,57.6 
1982,3.0 ,1.0 ,0.0 ,205.3 ,138.6 ,30.8 ,38.2 ,134.2 ,124.0 ,165.3 ,0.3 ,1.6 
1983,0.0 ,0.0 ,1.0 ,81.9 ,120.7 ,145.6 ,135.9 ,189.8 ,104.0 ,107.7 ,35.7 ,0.8 
1984,1.5 ,1.4 ,0.0 ,28.2 ,15.1 ,114.2 ,180.6 ,139.9 ,88.1 ,90.5 ,76.7 ,10.4 
1985,0.0 ,0.5 ,0.0 ,45.5 ,74.9 ,129.9 ,93.3 ,240.3 ,82.9 ,110.5 ,112.3 ,52.6 
1986,0.0 ,7.1 ,0.0 ,102.7 ,165.8 ,173.9 ,104.8 ,125.9 ,116.9 ,114.5 ,26.0 ,3.8 
1987,3.4 ,0.4 ,9.7 ,46.8 ,169.4 ,167.8 ,99.0 ,136.0 ,169.4 ,109.7 ,70.9 ,0.0 
1988,0.0 ,11.5 ,0.0 ,13.0 ,35.1 ,209.9 ,149.0 ,199.8 ,238.5 ,160.7 ,140.1 ,16.6 
1989,3.0 ,0.8 ,0.0 ,2.5 ,142.6 ,48.4 ,79.0 ,243.5 ,219.2 ,136.7 ,2.6 ,1.3 
1990,0.0 ,0.6 ,0.0 ,0.0 ,99.1 ,144.3 ,174.2 ,159.8 ,149.7 ,168.3 ,59.0 ,35.8 
1991,0.0 ,0.4 ,12.5 ,104.6 ,45.6 ,47.2 ,186.4 ,262.6 ,103.2 ,64.1 ,77.7 ,14.1 
