PARAMETRO,UNIDADES,AÑO,ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOSTO,SEPTIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE,LATITUD,LONGITUD
PRECIPT,mm,1926,0,0,0,0,70,96,75,268,108,103,40,31,10.280,-67.61
PRECIPT,mm,1927,35,6,21,35,75,211,209,95,104,78,37,0,10.280,-67.61
PRECIPT,mm,1928,21,0,0,0,96,161,160,213,127,29,112,22,10.280,-67.61
PRECIPT,mm,1929,0,0,13,3,64,163,69,111,240,107,70,0,10.280,-67.61
PRECIPT,mm,1930,5,0,38,24,37,88,39,97,88,120,72,4,10.280,-67.61
PRECIPT,mm,1931,5,5,0,148,247,131,315,259,150,44,72,32,10.280,-67.61
PRECIPT,mm,1932,23,0,12,139,198,173,120,198,196,145,190,50,10.280,-67.61
PRECIPT,mm,1933,9,2,38,48,226,212,182,355,222,176,54,75,10.280,-67.61
PRECIPT,mm,1934,15,1,0,5,107,38,56,146,102,197,18,44.4,10.280,-67.61
PRECIPT,mm,1935,0,6,0,39,108,129,97,216,33,179,49,23,10.280,-67.61
PRECIPT,mm,1936,0,0,17,65,247,199,150,222,126,143,43,39,10.280,-67.61
PRECIPT,mm,1937,27,0,0,37,149,152,60,189,159,123,182,72,10.280,-67.61
PRECIPT,mm,1938,16,0,6,51,129,104,186,321,138,152,139,80,10.280,-67.61
PRECIPT,mm,1939,0,0,0,0,115,112,64,98,64,62,52,10,10.280,-67.61
PRECIPT,mm,1940,-,-,0,24,17,108,97,152,68,47,94,8,10.280,-67.61
PRECIPT,mm,1941,8,-,-,6,116,82,113,134,122,62,24,1,10.280,-67.61
PRECIPT,mm,1942,0,0,18,93,73,174,140,89,114,140,42,59,10.280,-67.61
PRECIPT,mm,1943,12,2,6,159,126,42,168,302,127,172,51,13,10.280,-67.61
PRECIPT,mm,1944,2,0,2,19,179,102,234,91,196,64,53,10,10.280,-67.61
PRECIPT,mm,1945,0,0,2,35,181,188,150,135,118,56,17,7,10.280,-67.61
PRECIPT,mm,1946,0,0,0,103,171,8,64,137,140,108,33,22,10.280,-67.61
PRECIPT,mm,1947,25,0,0,8,43,78,155,134,68,58,44,0,10.280,-67.61
PRECIPT,mm,1948,0,0,0,0,127,126,228,351,123,116,36,3,10.280,-67.61
PRECIPT,mm,1949,0,5,0,34,44,63,165,120,132,96,107,9,10.280,-67.61
PRECIPT,mm,1950,25,1,2,51,168,164,114,196,249,58,156,19,10.280,-67.61
PRECIPT,mm,1951,3,62,3,53,134,285,100,221,109,49,53,73,10.280,-67.61
PRECIPT,mm,1952,2,0,0,65,78,115,207,301,147,67,91,3,10.280,-67.61
PRECIPT,mm,1953,8,16,0,22,65,186,252,186,72,15,41,25,10.280,-67.61
PRECIPT,mm,1954,16,5,0,48,126,140,141,154,110,186,5,28,10.280,-67.61
PRECIPT,mm,1955,4,7,1,29,24,247,114,164,221,100,45,5,10.280,-67.61
PRECIPT,mm,1956,43,8,26,22,84,129,48,220,39,147,106,35,10.280,-67.61
PRECIPT,mm,1957,2,0,10,13,119,126,99,100,151,54,78,0,10.280,-67.61
PRECIPT,mm,1958,3,0,0,15,114,332,145,256,156,64,32,7,10.280,-67.61
PRECIPT,mm,1959,0,0,0,12,148,65,75,185,162,45,73,27,10.280,-67.61
PRECIPT,mm,1960,3,0,5,60,94,112,210,107,180,66,86,50,10.280,-67.61
PRECIPT,mm,1961,2,0,0,17,30,103,183,111,172,162,73,27,10.280,-67.61
