Total de Eto,ene,feb,mar,abr,may,jun,jul,ago,sept,oct,nov,dic
1981,134.1726,131.4668,161.6591,122.1376,127.9649,134.001,134.3793,142.8614,136.6705,123.3438,125.186,117.4101
1982,124.978,126.9907,162.2817,121.2109,116.2469,165.3533,175.903,167.5056,150.2309,128.3282,124.0385,126.1508
1983,135.5886,135.97,170.6109,139.4674,120.8351,117.2531,173.6989,145.3655,153.6987,132.7659,129.5332,123.3023
1984,135.4938,143.69,162.6561,148.2842,164.619,170.9755,154.7423,147.9315,142.6925,133.565,113.4451,126.1235
1985,131.1763,135.0637,156.342,150.9924,134.122,167.0156,166.1915,141.5787,152.5253,125.5407,117.3413,115.7982
1986,123.9844,130.3199,164.38,146.4387,137.2384,144.743,174.2148,166.2378,132.3282,135.1012,122.3101,129.8529
1987,135.0842,135.2502,171.6185,155.3719,130.6396,139.5943,156.928,165.2879,145.8209,140.2484,127.9256,135.3694
1988,130.2597,140.0048,177.214,157.3715,148.8724,147.0266,142.3332,139.0336,131.438,126.8401,118.3444,122.2965
1989,122.7342,131.8981,158.7753,168.5421,134.4898,179.6819,153.9011,161.4308,139.4434,132.767,125.9169,125.4214
1990,128.4491,126.6123,158.1149,144.4952,139.5434,150.0305,150.3091,159.8627,153.8444,137.7916,120.3321,133.3652
1991,137.027,140.3476,158.5781,142.2393,148.3032,166.1651,156.2933,120.1659,128.4986,136.1269,114.6037,115.4239
1992,125.7299,140.4782,166.3129,154.2092,140.1197,138.6994,144.2939,144.3561,122.9135,126.994,116.7585,123.4697
1993,132.0248,143.0276,162.8827,143.4634,118.0847,154.8066,164.879,150.5421,146.553,149.8077,120.1852,134.0792
1994,131.7555,129.2323,145.0757,136.8418,137.5109,176.9763,171.7933,168.5732,132.3903,136.9274,127.3034,139.5562
1995,140.7241,134.562,162.7535,150.8341,137.9547,152.8858,167.2119,147.8178,147.736,132.8666,122.2118,131.3387
1996,139.9602,143.6423,164.8862,156.1445,144.6821,156.5579,132.81,163.683,138.2682,125.4229,120.6579,126.078
1997,163.5003,161.1744,197.9159,185.6459,156.738,145.7754,137.6713,174.4364,157.3577,141.002,136.1827,156.4334
1998,146.1558,138.002,162.1535,140.1329,130.4304,147.6805,150.2205,171.4885,154.0659,132.7016,125.9544,129.5336
1999,131.1327,132.3633,160.6107,122.428,139.1059,160.2388,138.8443,135.6607,158.0636,144.1623,127.8632,126.5916
2000,142.6693,146.3563,174.5572,179.7339,157.3226,177.9016,175.6225,162.248,174.9233,168.9128,137.9053,147.3433
2001,157.9018,147.6833,184.9411,159.6573,158.084,163.0394,159.3978,150.9396,160.0024,158.3097,161.0377,141.6337
2002,152.2599,159.3372,193.9383,175.9419,163.9563,156.346,192.2052,163.4462,162.576,173.6169,159.4591,148.1172
2003,172.6123,170.7441,178.8651,154.1595,165.0984,184.1795,168.153,167.8119,150.5826,136.3052,152.4224,166.0249
2004,152.8114,164.942,189.5732,177.3825,153.538,187.4291,184.5657,174.2416,174.459,145.1226,151.6978,157.6358
2005,160.395,146.9435,187.4759,175.7751,166.4576,178.4438,163.7593,165.6566,167.0437,166.0009,144.6274,162.7206
2006,170.7012,171.5332,183.3168,183.4014,148.9358,170.4799,198.0697,168.1043,192.5362,170.9306,172.6411,172.4327
2007,134.8626,191.7633,208.0274,183.6281,154.9401,150.4727,171.3481,136.1144,151.6527,135.6659,129.267,127.466
2008,137.92,138.6579,162.9204,157.36,146.1188,165.3538,161.088,159.2276,142.0601,112.0956,105.6347,129.5602
2009,126.3513,134.5928,151.7188,161.6257,153.9287,175.0863,180.7961,165.4235,165.6369,145.3956,134.2019,139.6088
2010,122.1875,139.0989,164.7693,118.4077,137.3631,129.8605,133.6689,141.4203,142.0275,138.9068,102.0504,119.1174
2011,124.9974,119.8864,160.0393,138.8603,124.9193,158.8915,150.5397,152.9417,130.6047,132.8811,120.6002,119.5193
2012,128.2718,146.7205,143.7337,141.3053,129.787,170.6489,161.6372,134.5903,147.9744,133.6347,126.0173,124.6994
2013,126.7595,136.5867,161.0501,143.491,139.4282,164.8896,184.3664,141.8618,139.27,140.1722,118.6926,126.4949
2014,133.8033,141.4761,164.9583,149.6993,145.0729,170.439,168.6761,145.8633,147.3567,128.1486,119.0199,133.4284
