Total de Prec,ene,feb,mar,abr,may,jun,jul,ago,sept,oct,nov,dic
1981,2.1,18.6,0,197.5,163,127.5,453.7,206.6,257.9,83.1,58.1,27.3
1982,7.1,0,0,162.2,188.4,40.9,29.5,154.1,74.5,103.1,1.7,149.8
1983,0,0,13.7,106.9,158.8,187.6,98.6,199.1,128.5,98.8,21.9,0.7
1984,0.3,0,0,40.1,7,95.6,137.2,96.4,73.1,154.2,73.3,7.8
1985,0,4.6,1.2,48.3,71.8,183.6,111.5,170.2,77.2,74,69.3,32.3
1986,0.2,0.3,0,59.5,123.3,192.5,73.8,108.1,137.4,138.5,26,3.3
1987,5.4,1,5.3,62.7,121.8,68.8,92.8,178.8,159.7,117.6,23,4.6
1988,0,59.5,0,4.6,70,301.4,239.3,304.9,366.4,189.2,51.7,54.4
1989,3,0.8,0.3,0.2,47.9,49.8,142.7,252.2,232.1,87.5,106.6,41.6
1990,0,4.3,0,40.4,86.5,146.7,112.5,127.4,123,70.5,57.6,37.6
1991,0,0,30.8,97.6,29.5,71.8,47.1,428.7,91,130.2,66,16.2
1992,0,42.7,0,4.6,70,300.5,239.3,268.9,326.7,189.1,51.7,54.4
1993,0,0,2.1,217.5,165.8,65.5,147.2,253,75.5,33.6,67.8,4.4
1994,0,0.0128,63.7744,69.2727,96.2515,38.9295,73.1308,116.2336,144.0739,119.0268,27.4353,4.9977
1995,2.9,0,69.6,30.7,54.2,78.1,259.9,184.7,163.8,108.7,51.2,0.8
1996,1.9,0.2,0,20.6,97.9,242.5,218.6,119.7,143.5,77.6,37.5,34.4
1997,0.3,0,0,41.7,121,105.3,250.7,80.1,126.6,79.5,91.9,3.3
1998,0.2,6.2,45.2,58.2,140.2,89.7,230.5,103.4,235.9,207.9,2.8,13.7
1999,0.7,0,0,214,52.7,124.4,312.1,309.9,228.7,184.3,149.4,34.4
2000,19.5,0,47.6,0,80.8,35.6,64.3,179.1,262.3,77.8,46.2,3
2001,0,0,0,2.9,22.2,61.1,126.7,110.1,99.1,214.8,58.4,27.8
2002,1.4,0,1.5,66.5,165.1,127.8,67.3,128.2,139.3,72.6,37.1,0.6
2003,0,0,0,84.1,146,82.7,135.9,229.3,144,194.3,201.3,10.8
2004,0,0,0,77.9,172.1,82.7,122.9,170.2,177.4,107.2,87.5,17.8
2005,67.5,24.1,0,76.3,80.8,174.5,225,245.3,159.4,177.7,228.5,8.3
2006,11,0,11.5,0.9,123.8,143,91.6,210.2,122.8,169.9,172.2,12.5
2007,45.1,0,42.4,17.5,91.4,99.7,98.2,317.2,149,269.3,6,2.5
2008,0,5.8,11.1,43.6,174.4,61,85.8,174.7,210,235.7,87.9,0.9
2009,11.5,1.7,17.5,31.4,154.7,43.6,57,166.6,115.6,156.6,71.4,0
2010,1.8,4.1,0,151.8,330.4,371.5,213.9,201.3,145.8,75.6,188.4,13.7
2011,9.7,12.2,5.7,64.3,163.8,135.5,241.9,233.3,182.1,77.5,59.4,128.8
2012,0,0,22.4,147,103.5,134,148.1,257.1,190.1,137.8,44.1,4.3
2013,0,0,33.4,125.4,99.7,88.4,105.2,315.6,149.6,153.2,130.9,6.5
2014,0.4,0,0,32.9,52.4,95.3,133.8,147.2,335.6,273.1,88.4,25.4
